# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-06-04 21:21:05 420504077 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
     0     0.000000  0.000000000  0.000137284 -0.000000000 -1.000000000  0.000000000000000000          -nan   0.000000000          -nan  0.000000999572768     2.372549  0.000000000000000 
     1     0.001000  0.000137284  0.000137283 -0.000186047 -0.999999983  0.000000000000000000 -30.000000519  20.029212262  30.000000519  0.000000999694879     2.372603 20.029212261587929 
     2     0.002000  0.000274566  0.000137280 -0.000372092 -0.999999931  0.000000000000000111 -30.000002077   3.469360944  30.000002077  0.000000999786700     2.372766  3.469360944105250 
     3     0.003000  0.000411846  0.000137274 -0.000558134 -0.999999844  0.000000000000000222 -30.000004673   3.977220476  30.000004673  0.000000999848227     2.373037  3.977220475664039 
     4     0.004000  0.000549120  0.000137267 -0.000744169 -0.999999723  0.000000000000000000 -30.000008307   4.542069212  30.000008307  0.000000999879462     2.373417  4.542069212469912 
     5     0.005000  0.000686388  0.000137258 -0.000930196 -0.999999567  0.000000000000000222 -30.000012979   5.167438457  30.000012979  0.000000999880417     2.373906  5.167438456945749 
     6     0.006000  0.000823645  0.000137246 -0.001116211 -0.999999377  0.000000000000000000 -30.000018689   5.856652054  30.000018689  0.000000999851111     2.374503  5.856652053995375 
     7     0.007000  0.000960892  0.000137233 -0.001302212 -0.999999152  0.000000000000000000 -30.000025436   6.612757480  30.000025436  0.000000999791568     2.375208  6.612757480288549 
     8     0.008000  0.001098124  0.000137217 -0.001488196 -0.999998893  0.000000000000000000 -30.000033221   7.438455655  30.000033221  0.000000999701821     2.376022  7.438455655373224 
     9     0.009000  0.001235341  0.000137199 -0.001674162 -0.999998599  0.000000000000000000 -30.000042042   8.336031029  30.000042042  0.000000999581912     2.376945  8.336031029344570 
