# DTStamp_FHdata_calc_t_look (time_lookahead_length) 2023-06-04 21:48:19 900124488 
# rtime[1], u[2], u_next[3], accn_csv_t[4], curr_accn_t[5], max_jerk[6], curr_frate[7], profile[8], t_look[9] eps[10] rho[11] min_tang_accn[12] max_tang_accn[13] 
    0.000000  0.000000000  0.000137140          nan  0.000000000 200.000000000  0.000000000   0     0.000000  0.000000997482937     2.372549         -nan         -nan 
    0.001000  0.000137140  0.000137139 30.000000518 20.004885471 200.000000000  0.020004885   0     0.242888  0.000000997604880     2.372603   -30.000001    30.000001 
    0.002000  0.000274279  0.000137136 30.000002072  3.461352957 200.000000000  0.023466238   0     0.049993  0.000000997697056     2.372766   -30.000002    30.000002 
    0.003000  0.000411415  0.000137131 30.000004663  3.967512444 200.000000000  0.027433751   0     0.056385  0.000000997759461     2.373036   -30.000005    30.000005 
    0.004000  0.000548546  0.000137124 30.000008289  4.530418061 200.000000000  0.031964169   0     0.063463  0.000000997792099     2.373416   -30.000008    30.000008 
    0.005000  0.000685670  0.000137115 30.000012952  5.153584638 200.000000000  0.037117754   0     0.071269  0.000000997794979     2.373903   -30.000013    30.000013 
    0.006000  0.000822785  0.000137103 30.000018650  5.840321358 200.000000000  0.042958075   0     0.079844  0.000000997768118     2.374499   -30.000019    30.000019 
    0.007000  0.000959888  0.000137090 30.000025383  6.593663371 200.000000000  0.049551738   0     0.089225  0.000000997711543     2.375203   -30.000025    30.000025 
    0.008000  0.001096978  0.000137075 30.000033152  7.416302146 200.000000000  0.056968040   0     0.099447  0.000000997625283     2.376015   -30.000033    30.000033 
    0.009000  0.001234053  0.000137057 30.000041955  8.310516046 200.000000000  0.065278556   0     0.110537  0.000000997509379     2.376936   -30.000042    30.000042 
    0.010000  0.001371110  0.000137038 30.000051792  9.278102834 200.000000000  0.074556659   0     0.122517  0.000000997363876     2.377964   -30.000052    30.000052 
    0.011000  0.001508148  0.000137016 30.000062663 10.320315747 200.000000000  0.084876975   0     0.135405  0.000000997188827     2.379102   -30.000063    30.000063 
    0.012000  0.001645164  0.000136993 30.000074567 11.437804935 200.000000000  0.096314780   0     0.149208  0.000000996984293     2.380347   -30.000075    30.000075 
    0.013000  0.001782157  0.000136967 30.000087503 12.630565786 200.000000000  0.108945346   0     0.163927  0.000000996750341     2.381700   -30.000088    30.000088 
    0.014000  0.001919124  0.000137172 30.000101471 13.897895853 200.000000000  0.122843242   0     0.179555  0.000000999865848     2.383162   -30.000101    30.000101 
    0.015000  0.002056296  0.000137142 30.000116497 15.499347931 200.000000000  0.138342590   0     0.199063  0.000000999571774     2.384735   -30.000116    30.000116 
    0.016000  0.002193438  0.000137111 30.000132556 16.709939309 200.000000000  0.155052529   0     0.214172  0.000000999248326     2.386416   -30.000133    30.000133 
    0.017000  0.002330549  0.000137077 30.000149649 18.197109602 200.000000000  0.173249638   0     0.232484  0.000000998895601     2.388206   -30.000150    30.000150 
    0.018000  0.002467626  0.000137041 30.000167773 19.748985760 200.000000000  0.192998624   0     0.251588  0.000000998513699     2.390104   -30.000168    30.000168 
    0.019000  0.002604667  0.000137004 30.000186929 21.361068363 200.000000000  0.214359693   0     0.271432  0.000000998102731     2.392110   -30.000187    30.000187 
    0.020000  0.002741670  0.000136964 30.000207115 23.028132636 200.000000000  0.237387825   0     0.291953  0.000000997662812     2.394225   -30.000207    30.000207 
    0.021000  0.002878634  0.000136922 30.000228329 24.744269343 200.000000000  0.262132095   0     0.313080  0.000000997194064     2.396448   -30.000228    30.000228 
    0.022000  0.003015556  0.000136879 30.000250572 26.502937526 200.000000000  0.288635032   0     0.334735  0.000000996696615     2.398780   -30.000251    30.000251 
    0.023000  0.003152435  0.000137065 30.000273842 28.297028155 200.000000000  0.316932060   0     0.356833  0.000000999546330     2.401220   -30.000274    30.000274 
    0.024000  0.003289500  0.000137017 30.000298179 30.000298179 200.000000000  0.347691369   0     0.377937  0.000000998989047     2.403772   -30.000298    30.000298 
    0.025000  0.003426517  0.000136967 30.000323544 30.000323544 200.000000000  0.379765071   0     0.379340  0.000000998403297     2.406433   -30.000324    30.000324 
    0.026000  0.003563484  0.000136916 30.000349936 30.000349936 200.000000000  0.413701395   0     0.380816  0.000000997789234     2.409203   -30.000350    30.000350 
    0.027000  0.003700400  0.000136862 30.000377352 30.000377352 200.000000000  0.449503205   0     0.382362  0.000000997147019     2.412081   -30.000377    30.000377 
    0.028000  0.003837262  0.000137038 30.000405793 30.000405793 200.000000000  0.487164577   0     0.383977  0.000000999851584     2.415068   -30.000406    30.000406 
    0.029000  0.003974300  0.000136981 30.000435306 30.000435306 200.000000000  0.527630727   0     0.385701  0.000000999150001     2.418168   -30.000435    30.000435 
    0.030000  0.004111281  0.000136921 30.000465844 30.000465844 200.000000000  0.569102798   0     0.387454  0.000000998420599     2.421377   -30.000466    30.000466 
    0.031000  0.004248202  0.000136860 30.000497404 30.000497404 200.000000000  0.612372963   0     0.389270  0.000000997663563     2.424695   -30.000497    30.000497 
    0.032000  0.004385061  0.000136796 30.000529985 30.000529985 200.000000000  0.657400366   0     0.391145  0.000000996879086     2.428121   -30.000530    30.000530 
    0.033000  0.004521858  0.000136962 30.000563585 30.000563585 200.000000000  0.704136018   0     0.393076  0.000000999438738     2.431656   -30.000564    30.000564 
    0.034000  0.004658820  0.000136895 30.000598262 30.000598262 200.000000000  0.753879609   0     0.395114  0.000000998595690     2.435305   -30.000598    30.000598 
    0.035000  0.004795715  0.000136826 30.000633959 30.000633959 200.000000000  0.804027520   0     0.397152  0.000000997725627     2.439064   -30.000634    30.000634 
    0.036000  0.004932541  0.000136755 30.000670673 30.000670673 200.000000000  0.855699752   0     0.399234  0.000000996828763     2.442931   -30.000671    30.000671 
    0.037000  0.005069296  0.000136913 30.000708402 30.000708402 200.000000000  0.908818930   0     0.401357  0.000000999274142     2.446906   -30.000708    30.000708 
    0.038000  0.005206209  0.000136838 30.000747212 30.000747212 200.000000000  0.965024255   0     0.403584  0.000000998319496     2.450998   -30.000747    30.000747 
    0.039000  0.005343047  0.000136761 30.000787036 30.000787036 200.000000000  1.020975482   0     0.405781  0.000000997338547     2.455198   -30.000787    30.000787 
    0.040000  0.005479809  0.000136914 30.000827874 30.000827874 200.000000000  1.078116594   0     0.408006  0.000000999699794     2.459507   -30.000828    30.000828 
    0.041000  0.005616722  0.000136833 30.000869794 30.000869794 200.000000000  1.138371141   0     0.410331  0.000000998661689     2.463933   -30.000870    30.000870 
    0.042000  0.005753556  0.000136751 30.000912726 30.000912726 200.000000000  1.197803417   0     0.412605  0.000000997597831     2.468467   -30.000913    30.000913 
    0.043000  0.005890306  0.000136897 30.000956669 30.000956669 200.000000000  1.258133501   0     0.414893  0.000000999875329     2.473111   -30.000957    30.000957 
    0.044000  0.006027203  0.000136811 30.001001696 30.001001696 200.000000000  1.321590324   0     0.417278  0.000000998755049     2.477871   -30.001002    30.001002 
    0.045000  0.006164014  0.000136723 30.001047732 30.001047732 200.000000000  1.383616171   0     0.419589  0.000000997609614     2.482741   -30.001048    30.001048 
    0.046000  0.006300737  0.000136864 30.001094775 30.001094775 200.000000000  1.446231149   0     0.421902  0.000000999803912     2.487720   -30.001095    30.001095 
    0.047000  0.006437601  0.000136772 30.001142904 30.001142904 200.000000000  1.511985756   0     0.424311  0.000000998602892     2.492816   -30.001143    30.001143 
    0.048000  0.006574373  0.000136678 30.001192038 30.001192038 200.000000000  1.575682544   0     0.426623  0.000000997377363     2.498022   -30.001192    30.001192 
    0.049000  0.006711051  0.000136813 30.001242176 30.001242176 200.000000000  1.639660503   0     0.428927  0.000000999489171     2.503337   -30.001242    30.001242 
    0.050000  0.006847864  0.000136716 30.001293401 30.001293401 200.000000000  1.706802502   0     0.431325  0.000000998208991     2.508771   -30.001293    30.001293 
    0.051000  0.006984581  0.000136617 30.001345627 30.001345627 200.000000000  1.771262135   0     0.433607  0.000000996904991     2.514314   -30.001346    30.001346 
    0.052000  0.007121198  0.000136747 30.001398853 30.001398853 200.000000000  1.835710485   0     0.435871  0.000000998935171     2.519966   -30.001399    30.001399 
    0.053000  0.007257945  0.000136644 30.001453166 30.001453166 200.000000000  1.903368082   0     0.438229  0.000000997577548     2.525738   -30.001453    30.001453 
    0.054000  0.007394589  0.000136770 30.001508476 30.001508476 200.000000000  1.967738267   0     0.440454  0.000000999554629     2.531619   -30.001508    30.001508 
    0.055000  0.007531360  0.000136664 30.001564877 30.001564877 200.000000000  2.035363509   0     0.442774  0.000000998144003     2.537619   -30.001565    30.001565 
    0.056000  0.007668024  0.000136556 30.001622272 30.001622272 200.000000000  2.099313585   0     0.444951  0.000000996710741     2.543730   -30.001622    30.001622 
    0.057000  0.007804580  0.000136677 30.001680659 30.001680659 200.000000000  2.162827887   0     0.447097  0.000000998607775     2.549950   -30.001681    30.001681 
    0.058000  0.007941257  0.000136566 30.001740136 30.001740136 200.000000000  2.229689016   0     0.449340  0.000000997122682     2.556290   -30.001740    30.001740 
    0.059000  0.008077822  0.000136682 30.001800603 30.001800603 200.000000000  2.292329218   1     0.451429  0.000000998967578     2.562740   -30.001801    30.001801 
    0.060000  0.008214505  0.000136568 30.001862160 30.001862160 200.000000000  2.358394954   1     0.453632  0.000000997431370     2.569311   -30.001862    30.001862 
    0.061000  0.008351072  0.000136681 30.001924705 30.001924705 200.000000000  2.419898648   1     0.455682  0.000000999224514     2.575991   -30.001925    30.001925 
    0.062000  0.008487753  0.000136563 30.001988342 30.001988342 200.000000000  2.484919719   1     0.457850  0.000000997637942     2.582793   -30.001988    30.001988 
